Word,Difficulty,POS,Definition,Sentence
pitch,Easy,Noun,the level or tune of a sound,She was singing in a different pitch.
taken,Easy,Verb,to have gotten a hold of; grasped,My dad has taken my game away from me.
cannot,Easy,Verb,to not be able to do something,I cannot eat dessert before dinner.
stayed,Easy,Verb,to have been somewhere for a short time,We stayed at a hotel when we were on holiday.
denim,Easy,Noun,a type of material used for jeans,I like to wear denim jeans.
doctor,Easy,Noun,a person that treats sick people,I went to the doctor when I was sick.
gloves,Easy,Noun,hand covers to protect hands,I put on gloves before I wash the dishes.
ocean,Easy,Noun,a large area of water covering Earth,The ship sailed over the ocean.
cadet,Easy,Noun,a person training in the armed forces or police,The cadet was in training to be a police officer.
oxen,Easy,Noun,"plural of ox, a large domestic animal kept for milk",A herd of oxen were grazing on the grass.
quail,Easy,Noun,a small brown bird,A quail was in the nest.
arch,Easy,Noun,a curved top that is held by two supports,You enter the hall through a huge arch.
cheese,Easy,Noun,a food made from milk curd,I like to eat cheese and crackers.
teach,Easy,Verb,to help someone learn how to do something,He will teach me how to play the game.
liver,Easy,Noun,an organ in the body that cleans and filters blood,The liver is an organ that filters blood.
river,Easy,Noun,"a natural, large stream of water",The canoe drifted up the river.
story,Easy,Noun,a fictional tale shorter than a novel,My teacher reads us a story every day.
thank,Easy,Verb,to show you are pleased by something or someone,Please thank her for all her help.
mammal,Easy,Noun,an animal that feeds its young with milk from the mother,A mammal feeds its young with milk.
mammoth,Easy,Noun,an extinct elephant covered in long hair and curved tusks,The mammoth lived long ago and had long hair and tusks.
events,Easy,Noun,things that are planned; social occasions or activities,There will be three events to raise money.
facts,Easy,Noun,things that are proven or known to be true,The facts have been proven and are true.
people,Easy,Noun,more than one person,Ten people came to the party.
once,Easy,Adverb,one time,I have only been to hospital once.
coming,Easy,Adjective,about to happen or just beginning,We will have a lot of fun in the coming year.
inside,Easy,Preposition,within a container or room,I want to see what is inside the box.
parents,Easy,Noun,"plural of parent, a mother or father",My parents will not let me stay up late.
guard,Easy,Verb,to watch or protect,The dog was set to guard the gate.
lamb,Easy,Noun,a young sheep,A baby sheep is called a lamb.
wrap,Easy,Verb,to cover by winding or folding,We will wrap the present with green paper.
coarse,Easy,Adjective,having a harsh or rough quality,having a harsh or rough quality
geese,Easy,Noun,more than one goose,The goose flew over to the other geese in the flock.
gel,Easy,Noun,a thick jellylike substance,As the mixture cooled it turned into a gel.
gem,Easy,Noun,a cut and polished stone,The precious gem sparkled in the light.
rye,Easy,Noun,a type of grain used in baking,Bread made with rye tastes different to wheat.
touch,Easy,Verb,to put your hand or fingers on someone or something,Do not touch the wet paint.
wreck,Easy,Noun,the remains of a ship or other vehicle,The divers enjoyed diving on the wreck.
quiche,Easy,Noun,a pie made with eggs,We made the quiche with lots of eggs.
foul,Easy,Noun,extremely unpleasant,There was a foul smell coming from the bathroom.
lure,Easy,Verb,to persuade someone to do something by offering something exciting,I tried to lure the dog outside with a bone.
chief,Easy,Noun,a person who is in charge,A new chief of police has just been appointed.
gnat,Normal,Noun,"a small, flying, biting insect",A gnat is a small flying insect which bites.
gnaw,Normal,Verb,to bite or chew something repeatedly,My dog loves to gnaw on bones.
quip,Normal,Noun,a funny and clever comment,He made a quip and clever comment.
raise,Normal,Verb,to lift up,I raise my arm to answer the question.
sauce,Normal,Noun,a thick liquid eaten with food,I love to have sauce on my pie.
bight,Normal,Noun,a curve in a coastline,A curve in a coastline is called a bight.
thigh,Normal,Noun,the part of the leg above the knee,The thigh muscle is above the knee.
balm,Normal,Noun,a fragrant cream or liquid used to heal the skin,Dad uses a skin balm after he shaves.
calm,Normal,Adjective,"not angry, upset or excited",We have to stay calm if we hear the fire alarm.
weigh,Normal,Adjective,to find out how heavy someone or something is.,I use the scales to weigh the ingredients carefully.
Zeus,Normal,Noun,the ruler of the gods in Greek mythology,Zeus is the ruler of the gods in Greek mythology.
column,Normal,Noun,one of two or more vertical sections of a printed page,Please read down the left column.
zoology,Normal,Noun,the study of animals,She wants to study zoology and animals.
corpses,Normal,Noun,"plural of corpse, a dead body",The ancient corpses were buried thousands of years ago.
cities,Normal,Noun,"plural of city, a large town",London and Paris are two large cities.
passage,Normal,Noun,an alley or pathway,We took a shortcut down the side passage.
including,Normal,Preposition,part of a particular group or amount,"Three people, including myself, are getting an award."
compartment,Normal,Noun,a section of something larger,I keep snacks in the bottom compartment of my bag.
prospector,Normal,Noun,a person who searches for valuable substances such as gold or oil,The prospector found a gold nugget.
gouging,Normal,Verb,to make a hole through something in a rough way,The builder was gouging a hole through the wall.
gourd,Normal,Noun,a fruit with a hard rind often used for decoration or for making objects,We used the skin of a dried gourd to make a bowl.
support,Normal,Verb,to give assistance or comfort,My teacher will support my learning.
advance,Normal,Noun,to move forward in a purposeful way,I want to advance to the next level of the game.
balance,Normal,Verb,an even distribution of weight,The toddler lost his balance as he was trying to walk.
cancelled,Normal,Verb,for a planned event to not take place,The school sports day was cancelled because of the storm.
canceled,Normal,Verb,for a planned event to not take place,The school sports day was canceled because of the storm.
clearance,Normal,Noun,the process of removing things,There was a large boot sale after the house clearance.
budget,Normal,Noun,an amount of money you have available to spend,My parents made a weekly budget for our groceries.
mussels,Normal,Noun,edible sea creatures with two black shells that close,The mussels are edible and have black shells.
whether,Normal,Conjunction,showing a choice between alternatives,I don't know whether to go to the party or not.
pieces,Normal,Noun,a part of something,The pizza was cut into eight equal pieces.
rhythm,Normal,Noun,"a strong, regular and repeated movement or sound",The dancers all had great rhythm.
exterminate,Normal,Verb,to destroy or kill completely,Our efforts to exterminate the cockroaches have failed.
quarrelling,Normal,Verb,arguing angrily,The quarrelling students were sent to detention.
possibility,Normal,Noun,a chance that something may or may not happen or exist,There is a possibility that it will snow on the weekend.
chaos,Normal,Noun,complete confusion and disorder,Computer failure caused chaos at the airport.
orchestra,Normal,Noun,a large group of musicians who play many different instruments together and are led by a conductor,She played the violin in the school orchestra.
category,Normal,Noun,a group of people or things that are similar in some way,He competed in the race in his age category.
originated,Normal,Verb,began to exist,The waltz originated in Vienna.
geography,Normal,Noun,the natural features of an area,In class we have been studying the geography of the local area.
sapphire,Normal,Noun,a clear bright blue gemstone,She received a sapphire ring on her sixteenth birthday.
squadron,Normal,Noun,"a military unit consisting of soldiers, ships or aircraft",The squadron of bombers returned to their base.
fatigue,Normal,Noun,extreme tiredness,She was suffering from the fatigue after the long hike.
recruit,Normal,Verb,to find new people to take part in an event or join a group or team,We had to recruit more players for our team.
whirligig,Normal,Noun,a child's toy that spins rapidly,A spinning top is an example of a whirligig.
chaperone,Hard,Noun,a person who goes with and is responsible for a group of young people,My father volunteered to be a chaperone at the next school dance.
charade,Hard,Noun,something that is done in order to pretend something is true when it is not really true,They continue the charade until it wasn't fun anymore.
chassis,Hard,Noun,the base frame that a car or other vehicle is built on,The chassis of the car was damaged in the accident.
chivalry,Hard,Noun,"very polite, honest and kind behaviour",I love listening to stories of knights and their chivalry.
cliché,Hard,Noun,a phrase that has been used so often that it is no longer original,Time flies when you are having fun is an example of a cliché.
machinery,Hard,Noun,machines of a particular kind or machines in general,The farm machinery is kept in the barn.
peasants,Hard,Noun,in history a person of a low social class of farm workers and owners of small farms,The land was farmed by peasants for hundreds of years.
perimeter,Hard,Noun,"the outside edge of an area, surface or flat shape",Soldiers guarded the perimeter of the camp.
persuade,Hard,Verb,"to cause someone to do something or believe something by asking, arguing or giving reasons",I am trying to persuade my parents to increase my pocket money.
thermometer,Hard,Noun,a device used to measure temperature of a person's body or the air,Mum used a thermometer to see if I had a fever.
toupee,Hard,Noun,a small wig that is worn by a man to cover a bald spot on his head,The actor was wearing a black toupee on his head.
camouflage,Hard,Noun,the way some animals are coloured or shaped so they can not be seen in their natural surroundings,A stick insects colour and shape helps it to hide in a tree.
limousine,Hard,Noun,"a large, expensive car often driven by a paid driver",The bride and groom hired a limousine for their wedding day.
gargoyle,Hard,Noun,"a stone object in the shape of the head of an ugly creature, usually seen on the roofs of old buildings",A row of gargoyles perch on the roof in front of the church.
